First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,HN,25,FACE,3,1265.302,18.60738235,0,43,0,0,28.12338235,26.30794118,29.93882353,3.630882353,3.048529412,712.42,953.4705,17.33582727,0,6,0,0,23.97290909,21.95563636,25.99018182,4.034545455,2.305454545,206.99
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,HN,25,AMB,5,1333.485,18.78147887,0,45,0,0,28.13661972,26.30859155,29.96464789,3.656056338,3.047887324,715.22,969.9945,17.01744737,0,4,0,0,23.4245614,21.37807018,25.47105263,4.092982456,2.221052632,203.15
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,LN,15,FACE,3,1188.731,18.57392188,0,40,0,0,28.12789063,26.32046875,29.9353125,3.61484375,3.04375,705.99,946.2492,17.85375849,0,8,0,0,24.7009434,22.67886792,26.72301887,4.044150943,2.426415094,195.23
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,LN,15,AMB,5,1265.302,18.60738235,0,43,0,0,28.12338235,26.30794118,29.93882353,3.630882353,3.048529412,712.42,985.7235,17.29339474,0,6,0,0,23.82184211,21.7854386,25.85824561,4.072807018,2.284210526,206.99
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,HN,25,FACE,3,1188.731,18.57392188,0,40,0,0,28.12789063,26.32046875,29.9353125,3.61484375,3.04375,705.99,968.0753,17.60136909,0,8,0,0,24.53254545,22.53545455,26.52963636,3.994181818,2.401818182,207.45
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,HN,25,AMB,5,1248.669,18.63685075,0,42,0,0,28.12298507,26.30522388,29.94074627,3.635522388,3.046268657,710.95,991.4915,17.39458772,0,7,0,0,23.97885965,21.95561404,26.00210526,4.046491228,2.310526316,207.37
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,LN,15,FACE,3,1123.1863,18.71977167,0,40,0,0,28.34275,26.54583333,30.13966667,3.593833333,3.075,686.29,927.9933,17.50930755,0,8,0,0,24.95943396,22.95301887,26.96584906,4.012830189,2.483018868,262.5
Huang JY,2002,2001,Wuxi,120.2,31.5,China,Japonica,9915,LN,15,AMB,5,1188.731,18.57392188,0,40,0,0,28.12789063,26.32046875,29.9353125,3.61484375,3.04375,705.99,996.7935,17.48760526,0,8,0,0,24.39675439,22.41175439,26.38175439,3.97,2.38245614,211.98
Yang LX,2006,2001,Wuxi,120.2,31.5,China,Japonica,WXJ14,LN,15,AMB,5,1389.962,18.78327027,0,48,0,0,28.14966216,26.32067568,29.97864865,3.657972973,3.045945946,718.2,954.5005,16.74562281,0,1,0,0,22.83403509,20.74877193,24.91929825,4.170526316,2.131578947,202.55
Yang LX,2006,2002,Wuxi,120.2,31.5,China,Japonica,WXJ14,LN,15,AMB,5,1359.7606,18.37514324,0,27,0,0,27.45412162,25.52554054,29.3827027,3.857162162,2.943243243,639.12,975.4677,17.11346842,0,5,0,0,23.81631579,21.56754386,26.06508772,4.49754386,2.296491228,193.63
